location_id,country,province_or_state,city,location_code
l1,Canada,British Columbia,Dawson Creek,Rural
l2,Germany,Bremen,Bremen,Rural
l3,Canada,Manitoba,Winnipeg,Rural
l4,Canada,Ontario,Sudbury,Urban
l5,Canada,Manitoba,Winnipeg,Urban
l6,Germany,Thuringen,Erfurt,Urban
l7,United Kingdom,Reading,Ilkley Road,Suburban
l8,Germany,Saarland,Saarbrucken,Suburban
l9,Canada,New Brunswick,Fredericton,Urban
l10,Canada,New Brunswick,Fredericton,Rural
l11,Germany,Hessen,Frankfurt,Rural
l12,United States,California,San Diego,Suburban
l13,United Kingdom,Shropshire,Telford,Rural
l14,United States,California,Anaheim,Suburban
l15,Germany,Nordrhein-Westfalen,Koln,Suburban
l16,Canada,Ontario,Toronto,Rural
l17,United Kingdom,Reading,Back Lane,Rural
l18,United Kingdom,West Midlands,Birmingham,Suburban
l19,United Kingdom,Brighton and Hove,Bear Road,Urban
l20,United States,Florida,Miami,Rural
l21,Germany,Baden-Wurttemberg,Leonberg,Suburban
l22,Canada,British Columbia,Dawson Creek,Suburban
l23,Canada,Alberta,Edmonton,Urban
l24,United Kingdom,Nottinghamshire,Nottingham,Suburban
l25,Germany,Niedersachsen,Hannover,Urban
l26,United Kingdom,Oxfordshire,Oxford,Suburban
l27,United Kingdom,Oxfordshire,Oxford,Suburban
l28,Canada,Ontario,Toronto,Suburban
l29,United States,Colorado,Denver,Suburban
l30,United Kingdom,Hampshire,Southampton,Rural
l31,Germany,Hamburg,Hamburg,Rural
l32,Germany,Hessen,Frankfurt,Urban
l33,Canada,British Columbia,Victoria,Rural
l34,Canada,British Columbia,Vancouver,Suburban
l35,United Kingdom,Greater London,London,Suburban
l36,Canada,Ontario,Thunder Bay,Urban
l37,Germany,Berlin,Berlin,Urban
l38,United States,California,San Diego,Suburban
l39,Canada,British Columbia,Dawson Creek,Urban
l40,Canada,Ontario,Sudbury,Urban
l41,Germany,Bremen,Bremen,Urban
l42,United Kingdom,Hampshire,Southampton,Urban
l43,United Kingdom,West Midlands,Birmingham,Urban
l44,Canada,Ontario,Ottawa,Rural
l45,Germany,Saarland,Saarbrucken,Suburban
l46,Germany,Bayern,Munchen,Suburban
l47,Germany,Nordrhein-Westfalen,Dortmund,Suburban
l48,United States,Colorado,Denver,Suburban
l49,Canada,Ontario,Toronto,Suburban
l50,United Kingdom,Hampshire,Southampton,Urban
l51,United Kingdom,Oxfordshire,Oxford,Suburban
l52,Canada,Quebec,Tremblant,Urban
l53,United States,Georgia,Atlanta,Rural
l54,United States,California,Los Angeles,Suburban
l55,United Kingdom,Greater London,London,Suburban
l56,Canada,Ontario,Toronto,Urban
l57,Germany,Saarland,Saarbrucken,Rural
l58,United States,Arizona,Tucson,Urban
l59,Germany,Bayern,Nurnberg,Suburban
l60,United Kingdom,Hampshire,Southampton,Urban
l61,United States,California,San Clara,Rural
l62,United States,California,Pasadena,Suburban
l63,Canada,Quebec,Quebec City,Suburban
l64,United States,California,San Diego,Rural
l65,United Kingdom,Greater London,London,Urban
l66,Canada,Ontario,Trenton,Urban
l67,United Kingdom,Brighton and Hove,Bear Road,Rural
l68,Germany,Saarland,Saarbrucken,Rural
l69,Canada,Quebec,Montreal,Rural
l70,United Kingdom,Reading,Ilkley Road,Suburban
l71,United States,California,San Francisco,Urban
l72,Germany,Hamburg,Hamburg,Urban
l73,Canada,British Columbia,West Vancouver,Rural
l74,Germany,Baden-Wurttemberg,Mannheim,Rural
l75,United States,Florida,Miami,Urban
l76,Germany,Berlin,Berlin,Urban
l77,Canada,British Columbia,Vancouver,Suburban
l78,Germany,Bremen,Bremen,Suburban
l79,Canada,British Columbia,Whistler,Rural
l80,Germany,Nordrhein-Westfalen,Dortmund,Urban
l81,United Kingdom,West Midlands,Birmingham,Suburban
l82,Germany,Hamburg,Hamburg,Urban
l83,Canada,Ontario,Ottawa,Rural
l84,Germany,Nordrhein-Westfalen,Arnsberg,Urban
l85,Canada,British Columbia,Vancouver,Urban
l86,United Kingdom,Reading,Robindale Avenue,Rural
l87,United States,California,Los Angeles,Rural
l88,United States,Delaware,Dover,Suburban
l89,United States,California,Oakland,Rural
l90,Germany,Nordrhein-Westfalen,Krefeld,Rural
l91,Germany,Hamburg,Hamburg,Rural
l92,United States,Florida,Miami,Suburban
l93,United States,California,Los Angeles,Urban
l94,Canada,Alberta,Edmonton,Rural
l95,Germany,Hamburg,Hamburg,Rural
l96,United States,California,Los Angeles,Rural
l97,Germany,Nordrhein-Westfalen,Arnsberg,Rural
l98,United States,Arizona,Phoenix,Rural
l99,United States,California,Los Angeles,Suburban
l100,Germany,Bayern,Landshut,Urban
l101,United States,Connecticut,Hartford,Rural
l102,Canada,Ontario,Toronto,Urban
l103,United States,Florida,Orlando,Rural
l104,Canada,Alberta,Edmonton,Suburban
l105,Canada,British Columbia,Dawson Creek,Rural
l106,United States,Delaware,Dover,Urban
l107,United States,Alabama,Mobile,Suburban
l108,United States,Alabama,Mobile,Rural
l109,United States,Alabama,Birmingham,Rural
l110,United States,California,San Francisco,Suburban
l111,United Kingdom,Hampshire,Southampton,Urban
l112,Germany,Hessen,Frankfurt,Suburban
l113,United Kingdom,Reading,Robindale Avenue,Suburban
l114,United Kingdom,Greater London,London,Suburban
l115,United States,Alaska,Juneau,Suburban
l116,United States,Alabama,Birmingham,Suburban
l117,Germany,Nordrhein-Westfalen,Dusseldorf,Suburban
l118,Germany,Nordrhein-Westfalen,Bonn,Rural
l119,United Kingdom,Luton,Carlton Crescent,Rural
l120,Germany,Bremen,Bremen,Rural
l121,Germany,Nordrhein-Westfalen,Dortmund,Suburban
l122,United States,Alaska,Anchorage,Rural
l123,Canada,Ontario,Kingston,Suburban
l124,United Kingdom,Greater London,London,Urban
l125,United Kingdom,Greater London,London,Rural
l126,Germany,Bayern,Landshut,Suburban
l127,Canada,Ontario,Toronto,Rural
l128,United Kingdom,Reading,Ilkley Road,Urban
l129,Germany,Sachsen,Dresden,Urban
l130,Canada,Alberta,Edmonton,Rural
l131,Germany,Hessen,Russelsheim,Urban
l132,United Kingdom,Hampshire,Southampton,Urban
l133,Canada,Ontario,Toronto,Rural
l134,United States,California,Los Angeles,Rural
l135,Germany,Saarland,Saarbrucken,Rural
l136,United Kingdom,Brighton and Hove,Bear Road,Suburban
l137,Germany,Hessen,Frankfurt,Rural
l138,Canada,Quebec,Hull,Suburban
l139,United Kingdom,Reading,Stuart Close,Urban
l140,United States,California,San Francisco,Suburban
l141,United States,Colorado,Boulder,Rural
l142,United Kingdom,Greater London,London,Suburban
l143,United Kingdom,Greater London,London,Rural
l144,Germany,Bayern,Munchen,Rural
l145,United Kingdom,Reading,Ilkley Road,Suburban
l146,United Kingdom,Brighton and Hove,Eley Drive,Suburban
l147,Germany,Hessen,Frankfurt,Suburban
l148,United Kingdom,Greater London,London,Suburban
l149,Canada,Quebec,Montreal,Suburban
l150,Germany,Bremen,Bremen,Suburban
l151,United Kingdom,Greater London,London,Urban
l152,United States,Florida,Miami,Suburban
l153,United States,Arkansas,Fayetteville,Suburban
l154,Germany,Sachsen,Dresden,Suburban
l155,Germany,Berlin,Berlin,Suburban
l156,Germany,Nordrhein-Westfalen,Dusseldorf,Suburban
l157,United Kingdom,West Midlands,Birmingham,Rural
l158,United Kingdom,Greater London,London,Rural
l159,United States,California,Los Angeles,Rural
l160,Canada,British Columbia,Vancouver,Suburban
l161,United States,Delaware,Dover,Suburban
l162,Germany,Bayern,Munchen,Urban
l163,Germany,Rheinland-Pfalz,Mainz,Rural
l164,United Kingdom,Greater London,London,Rural
l165,United States,California,San Clara,Urban
l166,Germany,Hessen,Frankfurt,Rural
l167,Canada,Alberta,Edmonton,Rural
l168,Canada,British Columbia,Kelowna,Urban
l169,Germany,Bremen,Bremen,Rural
l170,United Kingdom,Greater London,London,Urban
l171,Germany,Bayern,Munchen,Rural
l172,Canada,British Columbia,Dawson Creek,Rural
l173,Canada,British Columbia,Vancouver,Urban
l174,United Kingdom,Greater London,London,Suburban
l175,United States,California,San Francisco,Rural
l176,United Kingdom,Hampshire,Southampton,Urban
l177,Germany,Bremen,Bremen,Urban
l178,United States,DC,Washington,Rural
l179,Canada,Ontario,Ottawa,Rural
l180,Canada,Quebec,Quebec City,Rural
l181,United Kingdom,Luton,Carlton Crescent,Rural
l182,Germany,Hamburg,Hamburg,Rural
l183,United States,Alaska,Anchorage,Rural
l184,United Kingdom,Greater London,London,Rural
l185,Canada,New Brunswick,Moncton,Urban
l186,United Kingdom,Reading,Back Lane,Suburban
l187,Germany,Hessen,Frankfurt,Urban
l188,Canada,Ontario,Toronto,Urban
l189,United States,Arizona,Phoenix,Suburban
l190,Germany,Bremen,Bremen,Urban
l191,Germany,Bremen,Bremen,Suburban
l192,United Kingdom,Hampshire,Southampton,Rural
