loyalty_id,loyalty_number,loyalty_status,loyalty_count
lo1,837810,Bronze,1
lo2,707928,Bronze,1
lo3,901442,Bronze,1
lo4,237303,Bronze,1
lo5,348835,Bronze,1
lo6,186842,Bronze,1
lo7,605640,Elite,1
lo8,723924,Bronze,1
lo9,202299,Elite,1
lo10,826271,Bronze,1
lo11,616030,Bronze,1
lo12,747903,Bronze,1
lo13,870394,Bronze,1
lo14,706996,Elite,1
lo15,940243,Bronze,1
lo16,508402,Elite,1
lo17,574568,Bronze,1
lo18,960508,Bronze,1
lo19,105151,Bronze,1
lo20,451838,Bronze,1
lo21,431773,Bronze,1
lo22,175104,Bronze,1
lo23,580979,Bronze,1
lo24,214461,Bronze,1
lo25,998171,Bronze,1
lo26,917578,Elite,1
lo27,530429,Silver,1
lo28,626217,Bronze,1
lo29,614645,Bronze,1
lo30,458038,Bronze,1
lo31,832363,Bronze,1
lo32,862647,Bronze,1
lo33,631714,Gold,1
lo34,395512,Bronze,1
lo35,936930,Silver,1
lo36,844540,Bronze,1
lo37,322540,Bronze,1
lo38,211198,Bronze,1
lo39,250089,Bronze,1
lo40,920637,Bronze,1
lo41,659599,Bronze,1
lo42,185502,Gold,1
lo43,800977,Silver,1
lo44,192098,Bronze,1
lo45,829934,Bronze,1
lo46,509494,Bronze,1
lo47,490249,Gold,1
lo48,529995,Bronze,1
lo49,182124,Bronze,1
lo50,504521,Bronze,1
lo51,597823,Bronze,1
lo52,939289,Bronze,1
lo53,751072,Bronze,1
lo54,249487,Gold,1
lo55,243376,Bronze,1
lo56,833317,Bronze,1
lo57,220741,Bronze,1
lo58,329125,Bronze,1
lo59,949620,Bronze,1
lo60,921760,Bronze,1
lo61,508241,Elite,1
lo62,699153,Bronze,1
lo63,607696,Bronze,1
lo64,905397,Elite,1
lo65,994984,Bronze,1
lo66,390343,Bronze,1
lo67,170639,Bronze,1
lo68,147024,Silver,1
lo69,235454,Elite,1
lo70,808330,Elite,1
lo71,815564,Bronze,1
lo72,664073,Bronze,1
lo73,154175,Bronze,1
lo74,131664,Bronze,1
lo75,590172,Bronze,1
lo76,392209,Bronze,1
lo77,918631,Bronze,1
lo78,321775,Silver,1
lo79,490860,Bronze,1
lo80,577223,Bronze,1
lo81,169134,Platinum,1
lo82,346876,Bronze,1
lo83,214878,Bronze,1
lo84,434363,Bronze,1
lo85,238939,Bronze,1
lo86,370124,Silver,1
lo87,755389,Bronze,1
lo88,992531,Bronze,1
lo89,906018,Silver,1
