profile_id,month_as_member,education,marital_status
cp1,33,Bachelor,Single
cp2,52,High School or Below,Married
cp3,47,Bachelor,Married
cp4,55,Bachelor,Married
cp5,58,Master,Single
cp6,34,Bachelor,Married
cp7,50,Bachelor,Married
cp8,65,College,Married
cp9,54,Doctor,Married
cp10,53,College,Married
cp11,58,Doctor,Divorced
cp12,53,College,Single
cp13,44,Bachelor,Married
cp14,66,College,Single
cp15,31,Bachelor,Married
cp16,55,Bachelor,Married
cp17,55,Bachelor,Single
cp18,37,College,Married
cp19,56,College,Married
cp20,41,Bachelor,Single
cp21,59,Master,Single
cp22,53,Bachelor,Single
cp23,61,Bachelor,Married
cp24,68,Bachelor,Single
cp25,52,College,Married
cp26,69,Bachelor,Divorced
cp27,49,College,Married
cp28,50,Bachelor,Married
cp29,54,College,Married
cp30,35,Bachelor,Single
cp31,32,Bachelor,Married
cp32,34,Bachelor,Married
cp33,37,Doctor,Married
cp34,46,Bachelor,Married
cp35,55,Bachelor,Married
cp36,29,Bachelor,Married
cp37,60,College,Single
cp38,37,Bachelor,Married
cp39,53,Bachelor,Married
cp40,67,Bachelor,Single
cp41,28,College,Divorced
cp42,54,Bachelor,Married
cp43,31,College,Divorced
cp44,32,Bachelor,Married
cp45,61,Bachelor,Married
cp46,43,Bachelor,Married
cp47,39,Bachelor,Married
cp48,62,Bachelor,Married
cp49,44,College,Single
cp50,46,Bachelor,Married
cp51,66,Bachelor,Married
cp52,56,Bachelor,Married
cp53,55,Bachelor,Divorced
cp54,47,College,Single
cp55,58,Bachelor,Single
cp56,63,Doctor,Married
cp57,53,College,Single
cp58,46,Bachelor,Married
cp59,31,Bachelor,Single
cp60,56,High School or Below,Divorced
cp61,46,Bachelor,Married
cp62,51,College,Married
cp63,42,College,Single
cp64,26,Bachelor,Married
cp65,34,Bachelor,Single
cp66,46,Bachelor,Married
cp67,70,Doctor,Divorced
cp68,52,Bachelor,Married
cp69,53,Bachelor,Single
cp70,42,Bachelor,Divorced
cp71,39,High School or Below,Married
cp72,56,Bachelor,Married
cp73,49,Bachelor,Single
cp74,67,Bachelor,Divorced
cp75,58,College,Single
cp76,48,Bachelor,Single
cp77,35,High School or Below,Married
cp78,54,Doctor,Married
cp79,60,Bachelor,Married
cp80,46,Bachelor,Married
cp81,60,Bachelor,Single
cp82,30,Bachelor,Divorced
cp83,60,College,Single
cp84,55,Bachelor,Single
cp85,66,Bachelor,Married
cp86,37,College,Single
cp87,26,Doctor,Married
cp88,41,Master,Married
cp89,63,Bachelor,Married
cp90,64,College,Single
cp91,63,College,Married
cp92,36,Master,Single
cp93,46,Bachelor,Single
cp94,59,High School or Below,Married
cp95,53,Bachelor,Married
cp96,46,Bachelor,Married
cp97,58,Bachelor,Single
cp98,58,Bachelor,Married
cp99,38,College,Single
cp100,42,Bachelor,Married
cp101,61,College,Married
cp102,49,Bachelor,Married
cp103,69,Bachelor,Married
cp104,55,Bachelor,Married
cp105,46,Bachelor,Single
cp106,38,Bachelor,Divorced
cp107,42,Bachelor,Married
cp108,33,Bachelor,Divorced
cp109,49,High School or Below,Married
cp110,47,Bachelor,Married
cp111,58,Bachelor,Married
cp112,52,College,Single
cp113,40,Bachelor,Married
cp114,47,Bachelor,Married
cp115,32,Bachelor,Married
cp116,37,College,Single
cp117,57,College,Single
cp118,50,Bachelor,Divorced
cp119,56,College,Married
cp120,29,Bachelor,Married
cp121,58,College,Single
cp122,36,Bachelor,Married
cp123,47,Bachelor,Married
cp124,49,Bachelor,Single
cp125,53,Bachelor,Divorced
cp126,41,College,Married
cp127,44,Doctor,Divorced
cp128,47,Bachelor,Married
cp129,46,College,Married
cp130,38,Bachelor,Married
cp131,27,Bachelor,Married
cp132,35,Bachelor,Married
cp133,29,Bachelor,Married
cp134,54,High School or Below,Single
cp135,34,Bachelor,Married
cp136,43,Bachelor,Married
cp137,56,Bachelor,Married
cp138,53,College,Married
cp139,54,Bachelor,Married
cp140,44,Bachelor,Married
cp141,26,Bachelor,Divorced
cp142,63,Doctor,Married
cp143,44,Bachelor,Married
cp144,44,Bachelor,Single
cp145,60,Bachelor,Married
cp146,57,Bachelor,Divorced
cp147,63,College,Single
cp148,44,College,Single
cp149,54,Bachelor,Married
cp150,55,College,Married
cp151,58,College,Married
cp152,64,Master,Married
cp153,41,Bachelor,Married
cp154,42,Master,Married
cp155,43,College,Married
cp156,44,High School or Below,Single
cp157,57,Bachelor,Single
cp158,62,Bachelor,Married
cp159,60,Bachelor,Married
cp160,69,Bachelor,Married
cp161,67,Master,Married
cp162,62,Bachelor,Married
cp163,68,Master,Single
cp164,63,Master,Divorced
cp165,54,Bachelor,Married
cp166,62,Bachelor,Married
cp167,48,Master,Married
cp168,69,Bachelor,Married
cp169,62,College,Single
cp170,40,Bachelor,Married
cp171,28,College,Divorced
cp172,44,Bachelor,Married
cp173,67,Bachelor,Married
cp174,29,Bachelor,Married
cp175,52,Bachelor,Married
cp176,62,College,Single
cp177,30,Bachelor,Married
cp178,63,Bachelor,Married
cp179,64,Master,Married
cp180,35,Bachelor,Divorced
cp181,57,Bachelor,Single
cp182,44,Bachelor,Married
cp183,70,Bachelor,Married
cp184,29,College,Married
cp185,60,Bachelor,Single
cp186,52,College,Divorced
cp187,54,Bachelor,Single
cp188,58,Bachelor,Divorced
cp189,38,Bachelor,Married
cp190,54,Bachelor,Single
cp191,67,Bachelor,Married
cp192,34,Bachelor,Single
cp193,44,Bachelor,Married
cp194,51,Bachelor,Married
cp195,60,Bachelor,Married
cp196,32,Bachelor,Divorced
cp197,62,Bachelor,Married
cp198,54,Bachelor,Married
cp199,46,Doctor,Divorced
cp200,41,Bachelor,Married
cp201,67,High School or Below,Single
cp202,53,Bachelor,Divorced
cp203,64,Bachelor,Married
cp204,61,Bachelor,Married
cp205,35,Bachelor,Married
cp206,56,Bachelor,Single
cp207,41,Bachelor,Divorced
cp208,38,Bachelor,Married
cp209,67,Bachelor,Married
cp210,36,Bachelor,Married
cp211,41,Bachelor,Married
cp212,41,Bachelor,Single
cp213,62,Bachelor,Married
cp214,43,College,Married
cp215,45,College,Single
cp216,51,Bachelor,Single
cp217,38,College,Divorced
cp218,59,Bachelor,Single
cp219,30,Bachelor,Married
cp220,67,Bachelor,Married
cp221,62,Bachelor,Divorced
cp222,59,Doctor,Married
cp223,66,Bachelor,Married
cp224,44,High School or Below,Married
cp225,44,Bachelor,Married
cp226,44,Bachelor,Divorced
cp227,52,Bachelor,Married
cp228,53,Bachelor,Divorced
cp229,53,Bachelor,Married
cp230,43,Bachelor,Married
cp231,62,Master,Divorced
cp232,44,College,Married
cp233,50,College,Single
cp234,31,Bachelor,Married
cp235,50,Bachelor,Married
cp236,33,Bachelor,Single
cp237,61,Bachelor,Married
cp238,59,Bachelor,Divorced
cp239,50,Bachelor,Married
cp240,60,College,Divorced
cp241,64,College,Single
cp242,70,Bachelor,Married
cp243,70,Bachelor,Single
cp244,26,Doctor,Divorced
cp245,63,Bachelor,Married
cp246,69,High School or Below,Married
cp247,66,College,Single
cp248,52,College,Single
cp249,40,Bachelor,Single
cp250,61,Bachelor,Married
cp251,46,Bachelor,Married
cp252,61,Bachelor,Married
cp253,68,Bachelor,Married
cp254,47,Bachelor,Single
cp255,55,Bachelor,Married
cp256,31,College,Single
cp257,43,Bachelor,Married
cp258,45,College,Single
cp259,50,College,Single
cp260,51,Bachelor,Single
cp261,66,Bachelor,Married
cp262,27,College,Single
cp263,65,Bachelor,Divorced
cp264,68,High School or Below,Married
cp265,46,Master,Married
