geo_loc_id,latitude,longitude,postal_code
gl1,55.759627,-120.237662,U5I 4F1
gl2,53.079296,8.801694,28759
gl3,49.895136,-97.138374,R2C 0M5
gl4,46.522099,-80.953035,M5V 1G5
gl5,49.895136,-97.138374,R2C 0M5
gl6,50.984768,11.02988,99089
gl7,51.474026,-0.987402,RG4 7BD
gl8,49.240157,6.996933,66115
gl9,45.963589,-66.643115,E3B 2H2
gl10,45.963589,-66.643115,E3B 2H2
gl11,50.110922,8.682127,60386
gl12,32.715738,-117.161084,92132
gl13,52.678419,-2.445258,TZ3 4BW
gl14,33.8366,-117.9143,92815
gl15,50.937531,6.960279,51149
gl16,43.653226,-79.383184,M2M 7K8
gl17,51.417083,-1.150411,RG7 5NF
gl18,52.486243,-1.890401,B4 7SL
gl19,50.837645,-0.122104,BN2 4DA
gl20,25.76168,-80.19179,33166
gl21,48.796045,9.009571,71299
gl22,55.759627,-120.237662,U5I 4F1
gl23,53.544389,-113.490927,T9G 1W3
gl24,52.937318,-1.141232,NG7 1AR
gl25,52.375892,9.73201,30627
gl26,51.752021,-1.257726,OX4 1LJ
gl27,51.752021,-1.257726,OX4 4YW
gl28,43.653226,-79.383184,M2Z 4K1
gl29,39.739236,-104.990251,80286
gl30,50.913425,-1.29459,SO30 2EB
gl31,53.551085,9.993682,22609
gl32,50.110922,8.682127,60320
gl33,48.428421,-123.365644,V10 6T5
gl34,49.282729,-123.120738,V6E 3Z3
gl35,51.507351,-0.127758,SE4 2NU
gl36,48.380895,-89.247682,K8T 5M5
gl37,52.520007,13.404954,12051
gl38,32.715738,-117.161084,92129
gl39,55.759627,-120.237662,U5I 4F1
gl40,46.522099,-80.953035,M5V 1G5
gl41,53.079296,8.801694,28219
gl42,50.913425,-1.29459,SO30 2EB
gl43,52.486243,-1.890401,B2 4LS
gl44,45.42153,-75.697193,K1G 4Z0
gl45,49.240157,6.996933,66115
gl46,48.135125,11.58198,80800
gl47,51.513587,7.465298,44413
gl48,39.739236,-104.990251,80279
gl49,43.653226,-79.383184,P5S 6R4
gl50,50.913425,-1.29459,SO30 2NU
gl51,51.752021,-1.257726,MK17 9EA
gl52,46.118462,-74.596185,H5Y 2S9
gl53,33.749,-84.388,30364
gl54,34.052234,-118.243685,90203
gl55,51.507351,-0.127758,SE6 4NR
gl56,43.653226,-79.383184,P1J 8T7
gl57,49.240157,6.996933,66115
gl58,32.222607,-110.974711,85713
gl59,49.452102,11.076665,90451
gl60,50.913425,-1.29459,SO30 0PZ
gl61,37.354108,-121.955236,95067
