product_id,product_line,coupon_response
p1,Computers and Home Office,Coupon 6
p2,Computers and Home Office,Coupon 1
p3,Computers and Home Office,Coupon 1
p4,Computers and Home Office,Coupon 4
p5,Computers and Home Office,Coupon 1
p6,Computers and Home Office,Coupon 1
p7,Computers and Home Office,Coupon 4
p8,Computers and Home Office,Coupon 3
p9,Computers and Home Office,Coupon 2
p10,Computers and Home Office,Coupon 4
p11,Computers and Home Office,Coupon 1
p12,Computers and Home Office,Coupon 2
p13,Computers and Home Office,Coupon 4
p14,Computers and Home Office,Coupon 1
p15,Computers and Home Office,Coupon 4
p16,Computers and Home Office,Coupon 1
p17,Computers and Home Office,Coupon 1
p18,Computers and Home Office,Coupon 2
p19,Computers and Home Office,Coupon 4
p20,Computers and Home Office,Coupon 2
p21,Computers and Home Office,Coupon 1
p22,Computers and Home Office,Coupon 4
p23,Computers and Home Office,Coupon 2
p24,Computers and Home Office,Coupon 2
p25,Computers and Home Office,Coupon 1
p26,Computers and Home Office,Coupon 2
p27,Computers and Home Office,Coupon 4
p28,Computers and Home Office,Coupon 4
p29,Computers and Home Office,Coupon 1
p30,Computers and Home Office,Coupon 4
p31,Computers and Home Office,Coupon 1
p32,Computers and Home Office,Coupon 1
p33,Computers and Home Office,Coupon 4
p34,Computers and Home Office,Coupon 1
p35,Computers and Home Office,Coupon 4
p36,Computers and Home Office,Coupon 1
p37,Computers and Home Office,Coupon 4
p38,Computers and Home Office,Coupon 1
p39,Computers and Home Office,Coupon 2
p40,Computers and Home Office,Coupon 1
p41,Computers and Home Office,Coupon 2
p42,Computers and Home Office,Coupon 2
p43,Computers and Home Office,Coupon 1
p44,Computers and Home Office,Coupon 2
p45,Computers and Home Office,Coupon 6
p46,Computers and Home Office,Coupon 3
p47,Computers and Home Office,Coupon 1
p48,Computers and Home Office,Coupon 1
p49,Computers and Home Office,Coupon 6
p50,Computers and Home Office,Coupon 1
p51,Computers and Home Office,Coupon 1
p52,Computers and Home Office,Coupon 2
p53,Computers and Home Office,Coupon 1
p54,Computers and Home Office,Coupon 4
p55,Computers and Home Office,Coupon 2
p56,Computers and Home Office,Coupon 1
