time_id,order_year,quarter
t1,2016,Q3
t2,2016,Q3
t3,2016,Q3
t4,2016,Q3
t5,2016,Q3
t6,2016,Q3
t7,2016,Q3
t8,2016,Q3
t9,2016,Q3
t10,2016,Q3
t11,2016,Q3
t12,2016,Q3
t13,2016,Q3
t14,2016,Q3
t15,2016,Q3
t16,2016,Q3
t17,2016,Q3
t18,2016,Q3
t19,2016,Q3
t20,2016,Q3
t21,2016,Q3
t22,2016,Q3
t23,2016,Q3
t24,2016,Q3
t25,2016,Q3
t26,2016,Q3
t27,2016,Q3
t28,2016,Q3
t29,2016,Q3
t30,2016,Q3
t31,2016,Q3
t32,2016,Q3
t33,2016,Q3
t34,2016,Q3
t35,2016,Q3
t36,2016,Q3
t37,2016,Q3
t38,2016,Q3
t39,2016,Q3
t40,2016,Q3
t41,2016,Q3
t42,2016,Q3
t43,2016,Q3
t44,2016,Q3
t45,2016,Q3
t46,2016,Q3
t47,2016,Q3
t48,2016,Q3
t49,2016,Q3
t50,2016,Q3
t51,2016,Q3
t52,2016,Q3
t53,2016,Q3
t54,2016,Q3
t55,2016,Q3
t56,2016,Q3
t57,2016,Q3
t58,2016,Q3
t59,2016,Q3
t60,2016,Q3
t61,2016,Q3
t62,2016,Q3
t63,2016,Q3
t64,2016,Q3
t65,2016,Q3
t66,2016,Q3
t67,2016,Q3
t68,2016,Q3
t69,2016,Q3
t70,2016,Q3
t71,2016,Q3
t72,2016,Q3
t73,2016,Q3
t74,2016,Q3
t75,2016,Q3
t76,2016,Q3
t77,2016,Q3
t78,2016,Q3
t79,2016,Q3
t80,2016,Q3
t81,2016,Q3
t82,2016,Q3
t83,2016,Q3
t84,2016,Q3
t85,2016,Q3
t86,2016,Q3
t87,2016,Q3
t88,2016,Q3
t89,2016,Q3
t90,2016,Q3
t91,2016,Q3
t92,2016,Q3
t93,2016,Q3
t94,2016,Q3
t95,2016,Q3
t96,2016,Q3
t97,2016,Q3
t98,2016,Q3
t99,2016,Q3
t100,2016,Q3
t101,2016,Q3
t102,2016,Q3
t103,2016,Q3
t104,2016,Q3
t105,2016,Q3
t106,2016,Q3
t107,2016,Q3
t108,2016,Q3
t109,2016,Q3
t110,2016,Q3
t111,2016,Q3
t112,2016,Q3
t113,2016,Q3
t114,2016,Q3
t115,2016,Q3
t116,2016,Q3
t117,2016,Q3
t118,2016,Q3
t119,2016,Q3
t120,2016,Q3
t121,2016,Q3
t122,2016,Q3
t123,2016,Q3
t124,2016,Q3
t125,2016,Q3
t126,2016,Q3
t127,2016,Q3
t128,2016,Q3
t129,2016,Q3
t130,2016,Q3
t131,2016,Q3
t132,2016,Q3
t133,2016,Q3
t134,2016,Q3
t135,2016,Q3
t136,2016,Q3
t137,2016,Q3
t138,2016,Q3
t139,2016,Q3
t140,2016,Q3
t141,2016,Q3
t142,2016,Q3
t143,2016,Q3
t144,2016,Q3
t145,2016,Q3
t146,2016,Q3
t147,2016,Q3
t148,2016,Q3
t149,2016,Q3
t150,2016,Q3
t151,2016,Q3
t152,2016,Q3
t153,2016,Q3
t154,2016,Q3
t155,2016,Q3
t156,2016,Q3
t157,2016,Q3
t158,2016,Q3
t159,2016,Q3
t160,2016,Q3
t161,2016,Q3
t162,2016,Q3
t163,2016,Q3
t164,2016,Q3
t165,2016,Q3
t166,2016,Q3
t167,2016,Q3
t168,2016,Q3
t169,2016,Q3
t170,2016,Q3
t171,2016,Q3
t172,2016,Q3
t173,2016,Q3
t174,2016,Q3
t175,2016,Q3
t176,2016,Q3
t177,2016,Q3
t178,2016,Q3
t179,2016,Q3
t180,2016,Q3
t181,2016,Q3
t182,2016,Q3
t183,2016,Q3
t184,2016,Q3
t185,2016,Q3
t186,2016,Q3
t187,2016,Q3
t188,2016,Q3
t189,2016,Q3
t190,2016,Q3
t191,2016,Q3
t192,2016,Q3
t193,2016,Q3
t194,2016,Q3
t195,2016,Q3
t196,2016,Q3
t197,2016,Q3
t198,2016,Q3
t199,2016,Q3
t200,2016,Q3
t201,2016,Q3
t202,2016,Q3
t203,2016,Q3
t204,2016,Q3
t205,2016,Q3
t206,2016,Q3
t207,2016,Q3
t208,2016,Q3
t209,2016,Q3
t210,2016,Q3
t211,2016,Q3
t212,2016,Q3
t213,2016,Q3
t214,2016,Q3
t215,2016,Q3
t216,2016,Q3
t217,2016,Q3
t218,2016,Q3
t219,2016,Q3
t220,2016,Q3
t221,2016,Q3
t222,2016,Q3
t223,2016,Q3
t224,2016,Q3
t225,2016,Q3
t226,2016,Q3
t227,2016,Q3
t228,2016,Q3
t229,2016,Q3
t230,2016,Q3
t231,2016,Q3
t232,2016,Q3
t233,2016,Q3
t234,2016,Q3
t235,2016,Q3
t236,2016,Q3
t237,2016,Q3
t238,2016,Q3
t239,2016,Q3
t240,2016,Q3
t241,2016,Q3
t242,2016,Q3
t243,2016,Q3
t244,2016,Q3
t245,2016,Q3
t246,2016,Q3
t247,2016,Q3
t248,2016,Q3
t249,2016,Q3
t250,2016,Q3
t251,2016,Q3
t252,2016,Q3
t253,2016,Q3
t254,2016,Q3
t255,2016,Q3
t256,2016,Q3
t257,2016,Q3
t258,2016,Q3
t259,2016,Q3
t260,2016,Q3
t261,2016,Q3
t262,2016,Q3
t263,2016,Q3
t264,2016,Q3
t265,2016,Q3
t266,2016,Q3
t267,2016,Q3
t268,2016,Q3
t269,2016,Q3
t270,2016,Q3
t271,2016,Q3
t272,2016,Q3
t273,2016,Q3
t274,2016,Q3
t275,2016,Q3
t276,2016,Q3
t277,2016,Q3
t278,2016,Q3
t279,2016,Q3
t280,2016,Q3
t281,2016,Q3
t282,2016,Q3
t283,2016,Q3
t284,2016,Q3
t285,2016,Q3
t286,2016,Q3
t287,2016,Q3
t288,2016,Q3
t289,2016,Q3
t290,2016,Q3
t291,2016,Q3
t292,2016,Q3
t293,2016,Q3
t294,2016,Q3
t295,2016,Q3
t296,2016,Q3
t297,2016,Q3
t298,2016,Q3
t299,2016,Q3
t300,2016,Q3
t301,2016,Q3
t302,2016,Q3
t303,2016,Q3
t304,2016,Q3
t305,2016,Q3
t306,2016,Q3
t307,2016,Q3
