model,rating,reviews,memory,size,camera,battery,processor,warranty,price,original_price,discounted_percentage
"Nothing Phone (2a) 5G (White, 128 GB)",4.5,"4,160 Ratings & 670 Reviews",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP (OIS) + 50MP | 32MP Front Camera,5000 mAh Battery,Dimensity 7200 Pro Processor,1 Year Manufacturing Warranty,"₹23,999","₹25,999",7% off
"Motorola G34 5G (Ocean Green, 128 GB)",4.2,"19,483 Ratings & 2,240 Reviews",8 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Snapdragon 695 5G Processor,Vegan Leather Design,"₹11,999","₹14,999",20% off
"Motorola G34 5G (Ice Blue, 128 GB)",4.2,"19,483 Ratings & 2,240 Reviews",8 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Snapdragon 695 5G Processor,1 Year on Handset and 6 Months on Accessories,"₹11,999","₹14,999",20% off
"POCO C55 (Power Black, 64 GB)",4.2,"1,11,926 Ratings & 6,975 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.04 cm (6.71 inch) HD+ Display,50MP Dual Rear Camera | 5MP Front Camera,5000 mAh Battery,Mediatek Helio G85 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹5,999","₹11,999",50% off
"POCO C51 (Power Black, 64 GB)",4,"1,95,747 Ratings & 11,002 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.56 cm (6.52 inch) HD+ Display,8MP Dual Rear Camera | 5MP Front Camera,5000 mAh Battery,Helio G36 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,"₹5,499","₹9,999",45% off
"Motorola G34 5G (Charcoal Black, 128 GB)",4.2,"19,483 Ratings & 2,240 Reviews",8 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Snapdragon 695 5G Processor,1 Year on Handset and 6 Months on Accessories,"₹11,999","₹14,999",20% off
"POCO C51 (Power Black, 128 GB)",4.1,"8,244 Ratings & 460 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.56 cm (6.52 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Lithium Polymer Battery,Helio G36 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹5,999","₹10,999",45% off
"POCO C51 (Royal Blue, 128 GB)",4.1,"8,244 Ratings & 460 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.56 cm (6.52 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Lithium Polymer Battery,Helio G36 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹5,999","₹10,999",45% off
"Infinix SMART 8 (Timber Black, 128 GB)",4.4,"2,047 Ratings & 158 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,50MP + AI Lens | 8MP Front Camera,5000 mAh Battery,Helio G36 Processor,1 Year on Handset and 6 Months on Accessories,"₹8,299","₹10,999",24% off
"Infinix SMART 8 (Galaxy White, 128 GB)",4.4,"2,047 Ratings & 158 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,50MP + AI Lens | 8MP Front Camera,5000 mAh Battery,Helio G36 Processor,1 Year on Handset and 6 Months on Accessories,"₹8,299","₹10,999",24% off
"Infinix SMART 8 (Shiny Gold, 128 GB)",4.4,"2,047 Ratings & 158 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,50MP + AI Lens | 8MP Front Camera,5000 mAh Battery,Helio G36 Processor,1 Year on Handset and 6 Months on Accessories,"₹8,299","₹10,999",24% off
